day,case,deaths
0,10,0
1,10,0
2,0,0
3,20,0
4,50,0
5,30,0
6,70,0
7,70,0
8,210,0
9,570,0
10,700,0
11,1540,1
12,3560,1
13,6210,0
14,6430,2
15,10320,6
16,21220,9
17,24530,8
18,29760,20
19,37060,24
20,40100,46
21,26340,44
22,25750,49
23,35540,82
24,44880,95
25,48310,121
26,50210,189
27,50880,214
28,34520,262
29,35210,289
30,60980,321
31,52580,372
32,51490,421
33,57500,472
34,56420,469
35,38480,482
36,37630,550
37,63470,547
38,60410,577
39,55500,531
40,50280,522
41,44120,506
42,37040,516
43,28670,542
44,32850,538
45,41190,490
46,38660,432
47,35250,389
48,35530,356
49,21170,358
50,23510,364
51,37690,333
52,30580,294
53,34580,290
54,28340,300
55,24650,292
56,15890,232
57,10100,224
58,23030,240
59,27130,204
60,23360,206
61,20020,188
62,18650,173
63,10470,167
64,7760,150
65,15450,123
66,15070,107
67,13840,110
68,12150,92
69,10580,85
70,6370,71
72,9036,1009
73,9165,871
74,8455,728
75,7711,822
76,7024,967
77,6449,935
78,5987,869
79,5939,845
80,5592,470
81,5194,589
82,4831,883
83,4510,722
84,4231,854
85,3985,701
86,3762,582
87,3521,370
88,3292,249
89,3082,530
90,2889,697
91,2710,559
92,2543,477
93,2384,454
94,2233,241
95,2091,160
96,1959,357
97,1836,391
98,1720,374
99,1612,308
100,1510,267
101,1414,141
102,1324,235
103,1240,233
104,1162,239
105,1088,171
106,1019,171
107,954,173
108,893,145
109,836,148
110,783,134
111,733,121
112,686,133
113,643,101
114,602,109
115,563,98
116,527,76
117,494,86
118,462,79
119,432,79
120,405,73
121,379,72
122,355,60
123,332,68
124,311,50
125,291,57
126,272,56
127,255,49
128,238,39
129,223,32
130,209,33
131,195,20
