day,case,deaths
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,100,1
12,100,1
13,0,0
14,200,2
15,600,6
16,900,9
17,800,8
18,2000,20
19,2400,24
20,4600,46
21,4400,44
22,4900,49
23,8200,82
24,9500,95
25,12100,121
26,18900,189
27,21400,214
28,26200,262
29,28900,289
30,32100,321
31,37200,372
32,42100,421
33,47200,472
34,46900,469
35,48200,482
36,55000,550
37,54700,547
38,57700,577
39,53100,531
40,52200,522
41,50600,506
42,51600,516
43,54200,542
44,53800,538
45,49000,490
46,43200,432
47,38900,389
48,35600,356
49,35800,358
50,36400,364
51,33300,333
52,29400,294
53,29000,290
54,30000,300
55,29200,292
56,23200,232
57,22400,224
58,24000,240
59,20400,204
60,20600,206
61,18800,188
62,17300,173
63,16700,167
64,15000,150
65,12300,123
66,10700,107
67,11000,110
68,9200,92
69,8500,85
70,7100,71
72,21571,1274
73,23418,1250
74,26567,1283
75,31053,1286
76,36685,1117
77,44358,1058
78,54267,917
79,67136,851
80,79185,832
81,93620,821
82,110507,782
83,129834,710
84,151535,678
85,175169,719
86,200027,696
87,224972,559
88,249483,524
89,272129,618
90,291318,458
91,305463,491
92,313192,453
93,313621,419
94,306535,391
95,292482,373
96,272560,282
97,248333,260
98,221568,262
99,193966,195
100,166966,202
101,141636,150
102,118657,486
103,98362,560
104,80822,596
105,65928,755
106,53459,867
107,43138,1052
108,34675,1300
109,27784,1637
110,22206,1960
111,17712,2263
112,14105,2608
113,11217,3022
114,8912,3621
115,7075,4163
116,5612,4852
117,4450,5310
118,3527,5929
119,2794,6470
120,2213,6822
121,1753,7368
122,1388,7492
123,1099,7451
124,870,7284
125,688,7092
126,545,6630
127,431,5952
128,341,5293
129,270,4664
130,213,3975
131,169,3387
