day,case,deaths
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,50,1
12,50,1
13,0,0
14,100,2
15,300,6
16,450,9
17,400,8
18,1000,20
19,1200,24
20,2300,46
21,2200,44
22,2450,49
23,4100,82
24,4750,95
25,6050,121
26,9450,189
27,10700,214
28,13100,262
29,14450,289
30,16050,321
31,18600,372
32,21050,421
33,23600,472
34,23450,469
35,24100,482
36,27500,550
37,27350,547
38,28850,577
39,26550,531
40,26100,522
41,25300,506
42,25800,516
43,27100,542
44,26900,538
45,24500,490
46,21600,432
47,19450,389
48,17800,356
49,17900,358
50,18200,364
51,16650,333
52,14700,294
53,14500,290
54,15000,300
55,14600,292
56,11600,232
57,11200,224
58,12000,240
59,10200,204
60,10300,206
61,9400,188
62,8650,173
63,8350,167
64,7500,150
65,6150,123
66,5350,107
67,5500,110
68,4600,92
69,4250,85
70,3550,71
72,13167,615
73,15163,617
74,18337,666
75,22899,645
76,28982,596
77,37459,509
78,48911,446
79,64386,366
80,81509,432
81,103257,432
82,130375,410
83,163527,330
84,203172,366
85,249106,373
86,300227,330
87,354076,295
88,407560,246
89,455568,279
90,492050,236
91,511168,228
92,508898,238
93,484517,202
94,441156,186
95,384996,165
96,323328,149
97,262706,138
98,207714,126
99,160714,124
100,122273,97
101,91836,90
102,68304,315
103,50429,363
104,37028,460
105,27081,551
106,19749,706
107,14372,965
108,10442,1123
109,7579,1527
110,5496,1937
111,3983,2514
112,2885,3214
113,2089,3983
114,1513,4858
115,1095,5884
116,792,7173
117,573,8488
118,415,9587
119,300,10991
120,217,11799
121,157,12214
122,113,12180
123,82,11610
124,59,10708
125,43,9254
126,31,7746
127,22,6256
128,16,4759
129,11,3863
