day,case,deaths
0,10,0
1,10,0
2,0,0
3,20,0
4,50,0
5,30,0
6,70,0
7,70,0
8,210,0
9,570,0
10,700,0
11,1540,1
12,3560,1
13,6210,0
14,6430,2
15,10320,6
16,21220,9
17,24530,8
18,29760,20
19,37060,24
20,40100,46
21,26340,44
22,25750,49
23,35540,82
24,44880,95
25,48310,121
26,50210,189
27,50880,214
28,34520,262
29,35210,289
30,60980,321
31,52580,372
32,51490,421
33,57500,472
34,56420,469
35,38480,482
36,37630,550
37,63470,547
38,60410,577
39,55500,531
40,50280,522
41,44120,506
42,37040,516
43,28670,542
44,32850,538
45,41190,490
46,38660,432
47,35250,389
48,35530,356
49,21170,358
50,23510,364
51,37690,333
52,30580,294
53,34580,290
54,28340,300
55,24650,292
56,15890,232
57,10100,224
58,23030,240
59,27130,204
60,23360,206
61,20020,188
62,18650,173
63,10470,167
64,7760,150
65,15450,123
66,15070,107
67,13840,110
68,12150,92
69,10580,85
70,6370,71
72,20332,1098
73,23406,860
74,25300,724
75,27736,804
76,31044,1004
77,35532,927
78,41426,846
79,49658,870
80,56324,514
81,63669,554
82,72074,944
83,81573,747
84,92109,818
85,103519,641
86,115534,592
87,127615,410
88,139967,237
89,152321,519
90,164274,693
91,175363,562
92,185102,502
93,193023,475
94,198728,255
95,201957,179
96,202492,359
97,200250,350
98,195306,330
99,187885,278
100,178345,250
101,167131,149
102,154734,490
103,141638,553
104,128294,589
105,115097,627
106,102366,801
107,90339,815
108,79179,988
109,68978,1122
110,59774,1356
111,51560,1488
112,44297,1742
113,37927,1844
114,32377,2222
115,27570,2475
116,23426,2705
117,19869,3008
118,16826,3372
119,14230,3743
120,12021,4059
121,10145,4257
122,8555,4351
123,7210,4745
124,6073,4745
125,5112,4933
126,4302,4855
127,3619,4784
128,3043,4672
129,2559,4363
130,2151,4350
131,1808,3945
