day,case,deaths
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,100,1
12,100,1
13,0,0
14,200,2
15,600,6
16,900,9
17,800,8
18,2000,20
19,2400,24
20,4600,46
21,4400,44
22,4900,49
23,8200,82
24,9500,95
25,12100,121
26,18900,189
27,21400,214
28,26200,262
29,28900,289
30,32100,321
31,37200,372
32,42100,421
33,47200,472
34,46900,469
35,48200,482
36,55000,550
37,54700,547
38,57700,577
39,53100,531
40,52200,522
41,50600,506
42,51600,516
43,54200,542
44,53800,538
45,49000,490
46,43200,432
47,38900,389
48,35600,356
49,35800,358
50,36400,364
51,33300,333
52,29400,294
53,29000,290
54,30000,300
55,29200,292
56,23200,232
57,22400,224
58,24000,240
59,20400,204
60,20600,206
61,18800,188
62,17300,173
63,16700,167
64,15000,150
65,12300,123
66,10700,107
67,11000,110
68,9200,92
69,8500,85
70,7100,71
72,15100,1200
73,15087,1208
74,15622,1301
75,16586,1355
76,17679,1259
77,19347,991
78,21480,865
79,24302,866
80,26058,877
81,28146,873
82,30516,775
83,33131,699
84,36006,703
85,39071,711
86,42261,717
87,45459,559
88,48864,524
89,52440,590
90,56152,461
91,59966,504
92,63838,442
93,67731,417
94,71611,395
95,75462,315
96,79230,297
97,82858,255
98,86292,281
99,89475,228
100,92356,207
101,94884,147
102,97013,354
103,98698,327
104,99902,377
105,100598,418
106,100768,441
107,100407,454
108,99519,533
109,98121,619
110,96238,606
111,93907,706
112,91170,746
113,88078,796
114,84685,911
115,81047,998
116,77222,1060
117,73266,1128
118,69232,1175
119,65170,1317
120,61124,1313
121,57135,1428
122,53236,1534
123,49455,1610
124,45815,1769
125,42333,1836
126,39023,1864
127,35893,1880
128,32946,2001
129,30185,2182
130,27608,2255
131,25211,2231
