day,case,deaths
0,1,0
1,1,0
2,0,0
3,2,0
4,5,0
5,3,0
6,7,0
7,7,0
8,21,0
9,57,0
10,70,0
11,154,1
12,356,1
13,621,0
14,643,2
15,1032,6
16,2122,9
17,2453,8
18,2976,20
19,3706,24
20,4010,46
21,2634,44
22,2575,49
23,3554,82
24,4488,95
25,4831,121
26,5021,189
27,5088,214
28,3452,262
29,3521,289
30,6098,321
31,5258,372
32,5149,421
33,5750,472
34,5642,469
35,3848,482
36,3763,550
37,6347,547
38,6041,577
39,5550,531
40,5028,522
41,4412,506
42,3704,516
43,2867,542
44,3285,538
45,4119,490
46,3866,432
47,3525,389
48,3553,356
49,2117,358
50,2351,364
51,3769,333
52,3058,294
53,3458,290
54,2834,300
55,2465,292
56,1589,232
57,1010,224
58,2303,240
59,2713,204
60,2336,206
61,2002,188
62,1865,173
63,1047,167
64,776,150
65,1545,123
66,1507,107
67,1384,110
68,1215,92
69,1058,85
70,637,71
72,1415,122
73,1527,72
74,1523,86
75,1526,84
76,1550,121
77,1608,104
78,1704,103
79,1889,79
80,1971,49
81,2048,59
82,2139,84
83,2245,68
84,2365,96
85,2496,71
86,2633,55
87,2761,38
88,2897,25
89,3044,57
90,3200,64
91,3364,40
92,3536,45
93,3715,49
94,3900,27
95,4096,17
96,4301,31
97,4516,33
98,4741,37
99,4977,30
100,5222,26
101,5479,17
102,5748,24
103,6028,35
104,6321,54
105,6627,38
106,6946,34
107,7278,50
108,7624,39
109,7985,43
110,8360,51
111,8751,53
112,9156,54
113,9578,65
114,10015,63
115,10469,53
116,10939,47
117,11426,74
118,11930,59
119,12450,83
120,12988,65
121,13542,87
122,14114,86
123,14702,89
124,15306,94
125,15927,102
126,16563,94
127,17215,109
128,17881,108
129,18561,126
130,19254,114
131,19960,129
