day,case,deaths
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,50,1
12,50,1
13,0,0
14,100,2
15,300,6
16,450,9
17,400,8
18,1000,20
19,1200,24
20,2300,46
21,2200,44
22,2450,49
23,4100,82
24,4750,95
25,6050,121
26,9450,189
27,10700,214
28,13100,262
29,14450,289
30,16050,321
31,18600,372
32,21050,421
33,23600,472
34,23450,469
35,24100,482
36,27500,550
37,27350,547
38,28850,577
39,26550,531
40,26100,522
41,25300,506
42,25800,516
43,27100,542
44,26900,538
45,24500,490
46,21600,432
47,19450,389
48,17800,356
49,17900,358
50,18200,364
51,16650,333
52,14700,294
53,14500,290
54,15000,300
55,14600,292
56,11600,232
57,11200,224
58,12000,240
59,10200,204
60,10300,206
61,9400,188
62,8650,173
63,8350,167
64,7500,150
65,6150,123
66,5350,107
67,5500,110
68,4600,92
69,4250,85
70,3550,71
72,7182,640
73,7113,588
74,7294,675
75,7664,659
76,8076,550
77,8740,491
78,9599,484
79,10756,428
80,11430,420
81,12244,412
82,13177,380
83,14212,337
84,15361,358
85,16596,357
86,17895,364
87,19211,274
88,20639,294
89,22171,283
90,23803,240
91,25531,240
92,27350,227
93,29257,214
94,31255,200
95,33353,201
96,35544,160
97,37824,117
98,40185,153
99,42619,108
100,45119,113
101,47676,89
102,50277,196
103,52907,170
104,55549,189
105,58185,181
106,60795,183
107,63356,202
108,65847,244
109,68241,263
110,70514,293
111,72640,279
112,74594,313
113,76351,316
114,77889,340
115,79186,377
116,80224,439
117,80987,444
118,81464,491
119,81646,560
120,81530,619
121,81116,623
122,80409,655
123,79419,735
124,78158,739
125,76644,823
126,74895,856
127,72936,868
128,70789,1006
129,68481,1059
130,66038,1097
131,63487,1154
