day,case,deaths
0,10,0
1,10,0
2,0,0
3,20,0
4,50,0
5,30,0
6,70,0
7,70,0
8,210,0
9,570,0
10,700,0
11,1540,1
12,3560,1
13,6210,0
14,6430,2
15,10320,6
16,21220,9
17,24530,8
18,29760,20
19,37060,24
20,40100,46
21,26340,44
22,25750,49
23,35540,82
24,44880,95
25,48310,121
26,50210,189
27,50880,214
28,34520,262
29,35210,289
30,60980,321
31,52580,372
32,51490,421
33,57500,472
34,56420,469
35,38480,482
36,37630,550
37,63470,547
38,60410,577
39,55500,531
40,50280,522
41,44120,506
42,37040,516
43,28670,542
44,32850,538
45,41190,490
46,38660,432
47,35250,389
48,35530,356
49,21170,358
50,23510,364
51,37690,333
52,30580,294
53,34580,290
54,28340,300
55,24650,292
56,15890,232
57,10100,224
58,23030,240
59,27130,204
60,23360,206
61,20020,188
62,18650,173
63,10470,167
64,7760,150
65,15450,123
66,15070,107
67,13840,110
68,12150,92
69,10580,85
70,6370,71
72,24850,1073
73,29965,947
74,34231,721
75,39833,726
76,47384,968
77,57523,877
78,70853,823
79,88868,863
80,106011,478
81,125674,568
82,148364,890
83,173923,724
84,201788,808
85,230894,678
86,259642,591
87,285733,385
88,307879,229
89,324057,565
90,332420,630
91,331753,518
92,321792,501
93,303346,452
94,278160,301
95,248589,162
96,217004,388
97,185513,350
98,155741,345
99,128750,264
100,105080,242
101,84865,158
102,67959,587
103,54049,741
104,42751,806
105,33668,967
106,26423,1147
107,20682,1395
108,16154,1756
109,12597,2206
110,9810,2512
111,7632,3063
112,5933,3606
113,4609,4140
114,3579,4807
115,2778,5454
116,2156,6329
117,1673,6882
118,1297,7245
119,1006,7712
120,780,8025
121,605,8054
122,469,7666
123,363,7378
124,282,6646
125,218,6153
126,169,5185
127,131,4436
128,101,3643
129,78,3018
130,61,2470
131,47,1964
