day,case,deaths
0,1,0
1,1,0
2,0,0
3,2,0
4,5,0
5,3,0
6,7,0
7,7,0
8,21,0
9,57,0
10,70,0
11,154,1
12,356,1
13,621,0
14,643,2
15,1032,6
16,2122,9
17,2453,8
18,2976,20
19,3706,24
20,4010,46
21,2634,44
22,2575,49
23,3554,82
24,4488,95
25,4831,121
26,5021,189
27,5088,214
28,3452,262
29,3521,289
30,6098,321
31,5258,372
32,5149,421
33,5750,472
34,5642,469
35,3848,482
36,3763,550
37,6347,547
38,6041,577
39,5550,531
40,5028,522
41,4412,506
42,3704,516
43,2867,542
44,3285,538
45,4119,490
46,3866,432
47,3525,389
48,3553,356
49,2117,358
50,2351,364
51,3769,333
52,3058,294
53,3458,290
54,2834,300
55,2465,292
56,1589,232
57,1010,224
58,2303,240
59,2713,204
60,2336,206
61,2002,188
62,1865,173
63,1047,167
64,776,150
65,1545,123
66,1507,107
67,1384,110
68,1215,92
69,1058,85
70,637,71
72,3115,112
73,4010,104
74,4953,65
75,6269,65
76,8134,104
77,10771,89
78,14465,94
79,19710,82
80,25971,41
81,34211,62
82,45108,94
83,59430,82
84,78097,72
85,102164,69
86,132767,63
87,170959,37
88,217863,20
89,273896,56
90,338344,73
91,408710,59
92,480095,53
93,544994,48
94,594000,20
95,617799,20
96,610112,20
97,570512,32
98,505262,30
99,425304,35
100,342417,24
101,265777,13
102,200491,88
103,148038,83
104,107592,115
105,77288,143
106,55042,188
107,38955,266
108,27449,328
109,19284,462
110,13520,621
111,9466,835
112,6620,1088
113,4626,1437
114,3231,1886
115,2255,2460
116,1574,3153
117,1098,3961
118,766,5206
119,535,6607
120,373,8071
121,260,9783
122,181,11380
123,126,13039
124,88,14148
125,61,14914
126,42,14861
127,29,13925
128,20,12041
129,14,10235
130,10,8185
