day,case,deaths
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,50,1
12,50,1
13,0,0
14,100,2
15,300,6
16,450,9
17,400,8
18,1000,20
19,1200,24
20,2300,46
21,2200,44
22,2450,49
23,4100,82
24,4750,95
25,6050,121
26,9450,189
27,10700,214
28,13100,262
29,14450,289
30,16050,321
31,18600,372
32,21050,421
33,23600,472
34,23450,469
35,24100,482
36,27500,550
37,27350,547
38,28850,577
39,26550,531
40,26100,522
41,25300,506
42,25800,516
43,27100,542
44,26900,538
45,24500,490
46,21600,432
47,19450,389
48,17800,356
49,17900,358
50,18200,364
51,16650,333
52,14700,294
53,14500,290
54,15000,300
55,14600,292
56,11600,232
57,11200,224
58,12000,240
59,10200,204
60,10300,206
61,9400,188
62,8650,173
63,8350,167
64,7500,150
65,6150,123
66,5350,107
67,5500,110
68,4600,92
69,4250,85
70,3550,71
72,9576,628
73,10102,619
74,11111,632
75,12584,671
76,14391,579
77,16886,489
78,20095,463
79,24282,434
80,27961,463
81,32403,441
82,37658,412
83,43790,366
84,50900,348
85,59015,348
86,68148,365
87,78238,285
88,89550,303
89,102074,268
90,115754,255
91,130476,228
92,146040,211
93,162170,189
94,178502,203
95,194600,183
96,209894,135
97,223753,116
98,235519,137
99,244563,106
100,250350,96
101,252494,78
102,250809,250
103,245333,232
104,236336,256
105,224292,278
106,209821,354
107,193628,425
108,176426,500
109,158882,579
110,141569,699
111,124943,780
112,109338,929
113,94970,1056
114,81954,1247
115,70324,1393
116,60051,1570
117,51066,1865
118,43271,2167
119,36556,2551
120,30804,2838
121,25901,3120
122,21739,3591
123,18218,3925
124,15248,4369
125,12749,4607
126,10649,4933
127,8889,5348
128,7415,5699
129,6182,5821
130,5152,5941
131,4292,6125
