day,case
1,472
2,657
3,887
4,1231
5,1748
6,2523
7,3678
8,5402
9,7737
10,11045
11,15695
12,22124
13,30796
14,42076
15,55986
16,71791
17,87631
18,100240
19,105647
20,101032
21,86880
22,67313
23,47679
24,31608
25,20099
26,12493
27,7671
28,4670
29,2820
30,1691
31,1010
32,603
33,361
34,216
35,129
36,77
37,46
38,27
39,16
