day,case,deaths
0,10,0
1,10,0
2,0,0
3,20,0
4,50,0
5,30,0
6,70,0
7,70,0
8,210,0
9,570,0
10,700,0
11,1540,1
12,3560,1
13,6210,0
14,6430,2
15,10320,6
16,21220,9
17,24530,8
18,29760,20
19,37060,24
20,40100,46
21,26340,44
22,25750,49
23,35540,82
24,44880,95
25,48310,121
26,50210,189
27,50880,214
28,34520,262
29,35210,289
30,60980,321
31,52580,372
32,51490,421
33,57500,472
34,56420,469
35,38480,482
36,37630,550
37,63470,547
38,60410,577
39,55500,531
40,50280,522
41,44120,506
42,37040,516
43,28670,542
44,32850,538
45,41190,490
46,38660,432
47,35250,389
48,35530,356
49,21170,358
50,23510,364
51,37690,333
52,30580,294
53,34580,290
54,28340,300
55,24650,292
56,15890,232
57,10100,224
58,23030,240
59,27130,204
60,23360,206
61,20020,188
62,18650,173
63,10470,167
64,7760,150
65,15450,123
66,15070,107
67,13840,110
68,12150,92
69,10580,85
70,6370,71
72,31628,1232
73,40724,1281
74,50203,835
75,63238,872
76,81305,1497
77,106095,1271
78,139374,1286
79,183959,1385
80,231349,1410
81,285894,906
82,346084,934
83,407481,1498
84,462966,1398
85,503445,1399
86,519982,1207
87,506798,1101
88,465933,916
89,404482,672
90,333069,783
91,262109,1007
92,198894,893
93,146810,843
94,106193,868
95,75719,539
96,53426,574
97,37404,903
98,26041,719
99,18061,795
100,12494,662
101,8630,584
