day,case,deaths
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,100,1
12,100,1
13,0,0
14,200,2
15,600,6
16,900,9
17,800,8
18,2000,20
19,2400,24
20,4600,46
21,4400,44
22,4900,49
23,8200,82
24,9500,95
25,12100,121
26,18900,189
27,21400,214
28,26200,262
29,28900,289
30,32100,321
31,37200,372
32,42100,421
33,47200,472
34,46900,469
35,48200,482
36,55000,550
37,54700,547
38,57700,577
39,53100,531
40,52200,522
41,50600,506
42,51600,516
43,54200,542
44,53800,538
45,49000,490
46,43200,432
47,38900,389
48,35600,356
49,35800,358
50,36400,364
51,33300,333
52,29400,294
53,29000,290
54,30000,300
55,29200,292
56,23200,232
57,22400,224
58,24000,240
59,20400,204
60,20600,206
61,18800,188
62,17300,173
63,16700,167
64,15000,150
65,12300,123
66,10700,107
67,11000,110
68,9200,92
69,8500,85
70,7100,71
72,8628,437
73,7873,514
74,7348,686
75,6949,711
76,6471,726
77,6147,884
78,5869,1018
79,5721,1160
80,5379,1158
81,5085,1170
82,4819,1277
83,4570,1250
84,4347,1348
85,4136,1288
86,3933,1224
87,3725,1237
88,3532,1172
89,3351,1266
90,3180,1309
91,3018,1155
92,2864,1000
93,2716,972
94,2575,834
95,2442,907
96,2316,845
97,2196,802
98,2082,771
99,1974,731
100,1871,716
101,1774,703
