day,case
1,708
2,1158
3,1868
4,3097
5,5218
6,8859
7,15035
8,25348
9,41573
10,66158
11,100070
12,139097
13,168777
14,166524
15,123523
16,66019
17,26917
18,9677
19,3487
20,1335
21,541
22,221
23,85
24,30
25,10
