0,157769,23437,14656
1,162097,26987,14656
2,171363,31472,14656
3,192599,36298,14656
4,238032,41317,14656
5,329899,46404,14656
6,511679,49856,14656
7,854525,53377,14656
8,1462076,59475,14656
9,2455396,64731,14656
10,3852156,69879,14656
11,5422289,75630,14656
12,6739897,81268,14656
13,7561066,85115,14656
14,7967474,88877,14656
15,8140091,95225,14656
16,8208515,101271,14656
17,8233950,106820,14656
18,8241665,111846,14656
19,8242498,116259,14656
20,8240999,119962,14656
21,8238987,122824,14656
22,8236048,126110,14656
23,8232085,130229,14656
24,8228274,134095,14656
25,8224766,137619,14656
26,8221220,141174,14656
27,8219107,143291,14656
28,8216757,145642,14656
29,8212990,149410,14656
30,8209934,152466,14656
31,8206477,155923,14656
32,8203646,158754,14656
33,8201203,161197,14656
34,8199617,162783,14656
35,8198609,163791,14656
36,8196312,166088,14656
37,8193603,168797,14656
38,8191266,171134,14656
39,8189270,173130,14656
40,8187413,174987,14656
41,8186370,176030,14656
42,8185593,176807,14656
43,8184062,178338,14656
44,8182566,179834,14656
45,8181194,181206,14656
46,8173316,189084,14656
47,8159565,202835,14656
48,8133503,228897,14656
