0,72370,111885,15098
1,75129,116296,15099
2,91247,120000,15099
3,138644,122867,15099
4,263146,126152,15099
5,583597,130271,15099
6,1388521,134137,15099
7,3287135,137662,15099
8,7094830,141215,15099
9,8240569,143332,15099
10,8238218,145683,15099
11,8234449,149452,15099
12,8231391,152510,15099
13,8227933,155968,15099
14,8225099,158801,15100
15,8222634,161266,15100
16,8221045,162855,15100
17,8220035,163865,15100
18,8217732,166168,15100
19,8215019,168881,15100
20,8212683,171217,15100
21,8210681,173219,15100
22,8208816,175084,15100
23,8207769,176131,15100
24,8206993,176907,15100
25,8205448,178452,15100
26,8203941,179959,15100
27,8202557,181343,15100
28,8201342,182558,15100
29,8200284,183616,15100
30,8199647,184253,15100
31,8192476,191424,15100
32,8172654,211245,15101
33,8122390,261509,15101
34,7994603,389295,15102
35,7670033,713864,15103
36,6861243,1522648,15109
37,4959104,3424766,15130
38,1147856,7235981,15163
39,0,8383826,15174
40,0,8383826,15174
41,0,8383826,15174
42,0,8383826,15174
43,0,8383826,15174
44,0,8383826,15174
45,0,8383826,15174
46,0,8383826,15174
47,0,8383826,15174
48,0,8383826,15174
49,0,8383826,15174
50,0,8383826,15174
51,0,8383826,15174
52,0,8383826,15174
53,0,8383826,15174
54,0,8383826,15174
55,0,8383826,15174
56,0,8383826,15174
57,0,8383826,15174
58,0,8383826,15174
59,0,8383826,15174
60,0,8383826,15174
61,0,8383826,15174
62,0,8383826,15174
63,0,8383826,15174
64,0,8383826,15174
65,0,8383826,15174
66,0,8383826,15174
67,0,8383826,15174
68,0,8383826,15174
69,0,8383826,15174
70,0,8383826,15174
71,0,8383826,15174
72,0,8383826,15174
73,0,8383826,15174
74,0,8383826,15174
75,0,8383826,15174
76,0,8383826,15174
77,0,8383826,15174
78,0,8383826,15174
79,0,8383826,15174
80,0,8383826,15174
81,0,8383826,15174
82,0,8383826,15174
83,0,8383826,15174
84,0,8383826,15174
85,0,8383826,15174
86,0,8383826,15174
87,0,8383826,15174
88,0,8383826,15174
89,0,8383826,15174
90,0,8383826,15174
91,0,8383826,15174
92,0,8383826,15174
93,0,8383826,15174
94,0,8383826,15174
95,0,8383826,15174
96,0,8383826,15174
97,0,8383826,15174
98,0,8383826,15174
99,0,8383826,15174
100,0,8383826,15174
